--------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                          Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
BM_bernoulli<boost::multiprecision::cpp_rational>/50                                                                         1888495 ns      1888453 ns          354
BM_bernoulli<boost::multiprecision::cpp_rational>/54                                                                         2250552 ns      2250503 ns          294
BM_bernoulli<boost::multiprecision::cpp_rational>/58                                                                         2734589 ns      2734527 ns          246
BM_bernoulli<boost::multiprecision::cpp_rational>/62                                                                         3318196 ns      3318122 ns          206
BM_bernoulli<boost::multiprecision::cpp_rational>/66                                                                         3887371 ns      3887281 ns          166
BM_bernoulli<boost::multiprecision::cpp_rational>/70                                                                         4628631 ns      4628535 ns          135
BM_bernoulli<boost::multiprecision::cpp_rational>/74                                                                         5354148 ns      5354100 ns          131
BM_bernoulli<boost::multiprecision::cpp_rational>/78                                                                         6321412 ns      6321172 ns          111
BM_bernoulli<boost::multiprecision::cpp_rational>/82                                                                         7130681 ns      7130520 ns           99
BM_bernoulli<boost::multiprecision::cpp_rational>/86                                                                         8390270 ns      8390095 ns           77
BM_bernoulli<boost::multiprecision::cpp_rational>/90                                                                        10621849 ns     10621760 ns           70
BM_bernoulli<boost::multiprecision::cpp_rational>/94                                                                        11364659 ns     11364409 ns           64
BM_bernoulli<boost::multiprecision::cpp_rational>/98                                                                        14031215 ns     14030636 ns           53
BM_bernoulli<boost::multiprecision::cpp_rational>/102                                                                       15269101 ns     15268211 ns           50
BM_bernoulli<boost::multiprecision::cpp_rational>/106                                                                       15253625 ns     15253028 ns           44
BM_bernoulli<boost::multiprecision::cpp_rational>/110                                                                       17638148 ns     17637756 ns           42
BM_bernoulli<boost::multiprecision::cpp_rational>/114                                                                       18335439 ns     18335007 ns           37
BM_bernoulli<boost::multiprecision::cpp_rational>/118                                                                       21044600 ns     21044146 ns           33
BM_bernoulli<boost::multiprecision::cpp_rational>/122                                                                       23713449 ns     23712950 ns           29
BM_bernoulli<boost::multiprecision::cpp_rational>/126                                                                       25994484 ns     25993901 ns           26
BM_bernoulli<boost::multiprecision::cpp_rational>/130                                                                       30173460 ns     30172780 ns           25
BM_bernoulli<boost::multiprecision::cpp_rational>/134                                                                       43993250 ns     43992333 ns           15
BM_bernoulli<boost::multiprecision::cpp_rational>/138                                                                       40704613 ns     40702777 ns           16
BM_bernoulli<boost::multiprecision::cpp_rational>/142                                                                       47015864 ns     47014950 ns           13
BM_bernoulli<boost::multiprecision::cpp_rational>/146                                                                       51469463 ns     51468592 ns           10
BM_bernoulli<boost::multiprecision::cpp_rational>/150                                                                       70737464 ns     70736106 ns            8
